Latitude	Longitude	Elevation	Station_Name	State	bt0510	tmin	t01	Frost50	Freeze50
33.83	-88.5214	60.4	ABERDEEN	MS	23.5648148148148	0.419333333333333	5.5	224	260
46.9658	-123.8292	3	ABERDEEN	WA	14.2962962962963	2.707	5.83333333333333	230	304
38.9267	-97.2128	356.6	ABILENE	KS	22.4074074074074	-5.46366666666667	-0.388888888888889	181	206
36.2403	-106.4278	1944.6	ABIQUIU DAM	NM	18.1342592592593	-7.77066666666667	-1.25	166	188
47.2992	-96.5161	276.5	ADA	MN	15.6944444444444	-18.8103333333333	-14	136	156
34.7864	-96.685	309.4	ADA	OK	23.6759259259259	-2.123	3.88888888888889	221	241
42.1014	-77.2344	304.5	ADDISON	NY	15.8472222222222	-10.898	-4.94444444444444	135	166
41.1936	-120.9447	1278.6	ADIN RS	CA	16.1851851851852	-4.75433333333333	2.02777777777778	100	140
48.3006	-95.9817	348.1	AGASSIZ REFUGE	MN	15.6851851851852	-19.342	-14.5277777777778	130	151
33.9433	-113.1875	659.9	AGUILA	AZ	25.5740740740741	1.645	9.44444444444444	240	287
42.5522	-99.8556	765	AINSWORTH	NE	18.375	-9.947	-3.44444444444444	157	174
40.155	-103.1417	1383.8	AKRON 4 E	CO	17.75	-8.67033333333334	-2.08333333333333	138	160
32.9181	-105.955	1335	ALAMOGORDO	NM	23.6435185185185	-0.7	6.58333333333333	221	243
32.7294	-99.3017	426.7	ALBANY	TX	24.2731481481482	-0.132333333333333	6.41666666666667	222	247
35.3992	-80.1994	185.9	ALBEMARLE	NC	22.1018518518518	-0.524333333333333	4.52777777777778	198	224
41.4	-104.1017	1629.2	ALBIN	WY	16.3564814814815	-8.76166666666667	-1.75	133	152
38.3778	-88.0569	161.5	ALBION	IL	21.5740740740741	-4.956	-0.750000000000001	199	220
41.6867	-98.0036	545.6	ALBION	NE	17.9953703703704	-11.1023333333333	-5.61111111111111	148	167
45.2089	-104.2647	1009.5	ALBION 1 N	MT	16.0092592592593	-12.145	-6.16666666666667	115	135
43.2722	-78.1664	134.1	ALBION 2 NE	NY	17.6574074074074	-8.272	-3.80555555555556	163	192
42.4697	-73.9267	185	ALCOVE DAM	NY	16.0046296296296	-10.7176666666667	-6	137	165
45.0708	-112.0575	1783.1	ALDER 17 S	MT	12.6111111111111	-10.1143333333333	-4.16666666666667	73	104
41.1961	-90.7478	219.5	ALEDO	IL	18.4074074074074	-9.83466666666667	-5.86111111111111	172	194
32.9308	-106.9328	1378	ALEMAN RCH	NM	21.6203703703704	-4.49866666666667	4.38888888888889	187	204
32.9453	-85.9481	195.1	ALEXANDER CITY	AL	23.1342592592593	0.454	6.33333333333333	222	256
31.3206	-92.4611	26.5	ALEXANDRIA	LA	25.5324074074074	3.72966666666667	9.05555555555555	268	308
43.6567	-97.7853	412.4	ALEXANDRIA	SD	18.7361111111111	-13.0023333333333	-6.94444444444444	154	173
42.2497	-77.7583	520	ALFRED	NY	15.6296296296296	-9.725	-5.33333333333333	121	145
